iter	Passed	Remaining
664	794	400
665	794	398
666	795	397
667	796	395
668	797	394
669	797	393
670	798	391
671	799	390
672	800	388
673	801	387
674	801	386
675	802	384
676	804	383
677	805	382
678	805	381
679	806	379
680	807	378
681	808	377
682	809	375
683	810	374
684	811	373
685	812	371
686	813	370
687	813	369
688	814	367
689	815	366
690	816	365
691	817	363
692	818	362
693	819	361
694	820	360
695	821	358
696	822	357
697	823	356
698	823	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	829	346
705	830	345
706	830	344
707	831	343
708	832	341
709	834	340
710	835	339
711	836	338
712	837	336
713	838	335
714	839	334
715	839	333
716	840	331
717	841	330
718	842	329
719	843	328
720	844	326
721	845	325
722	846	324
723	847	322
724	848	321
725	849	320
726	850	319
727	851	317
728	851	316
729	852	315
730	853	314
731	854	312
732	855	311
733	856	310
734	857	309
735	858	307
736	858	306
737	859	305
738	861	304
739	862	302
740	863	301
741	864	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	292
748	870	291
749	871	290
750	872	289
751	873	287
752	873	286
753	875	285
754	876	284
755	877	283
756	878	281
757	879	280
758	880	279
759	881	278
760	882	277
761	882	275
762	883	274
763	884	273
764	885	271
765	885	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	891	263
772	892	262
773	892	260
774	893	259
775	894	258
776	895	256
777	896	255
778	896	254
779	897	253
780	898	251
781	899	250
782	900	249
783	901	248
784	901	247
785	902	245
786	903	244
787	904	243
788	905	242
789	906	240
790	907	239
791	908	238
792	909	237
793	909	236
794	910	234
795	911	233
796	912	232
797	912	231
798	913	229
799	914	228
800	915	227
801	915	226
802	916	224
803	917	223
804	918	222
805	918	221
806	920	220
807	922	219
808	923	218
809	924	216
810	925	215
811	926	214
812	927	213
813	928	212
814	929	210
815	929	209
816	930	208
817	931	207
818	932	206
819	933	204
820	935	203
821	936	202
822	937	201
823	938	200
824	939	199
825	940	198
826	941	196
827	942	195
828	942	194
829	943	193
830	944	192
831	945	190
832	946	189
833	947	188
834	948	187
835	950	186
836	951	185
837	951	184
838	952	182
839	953	181
840	954	180
841	955	179
842	955	178
843	957	176
844	957	175
845	959	174
846	959	173
847	960	172
848	961	171
849	962	169
850	964	168
851	965	167
852	966	166
853	966	165
854	967	164
855	968	162
856	969	161
857	970	160
858	971	159
859	972	158
860	973	157
861	973	155
862	974	154
863	975	153
864	976	152
865	977	151
866	978	150
867	979	148
868	980	147
869	981	146
870	982	145
871	983	144
872	984	143
873	985	142
874	986	140
875	987	139
876	988	138
877	988	137
878	989	136
879	990	135
880	991	133
881	992	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	997	125
888	998	124
889	999	123
890	1000	122
891	1001	121
892	1001	120
893	1002	118
894	1003	117
895	1004	116
896	1005	115
897	1006	114
898	1008	113
899	1009	112
900	1010	111
901	1011	109
902	1012	108
903	1012	107
904	1013	106
905	1014	105
906	1016	104
907	1016	103
908	1018	101
909	1019	100
910	1026	100
911	1027	99
912	1028	97
913	1029	96
914	1030	95
915	1031	94
916	1033	93
917	1034	92
918	1035	91
919	1036	90
920	1037	88
921	1038	87
922	1039	86
923	1040	85
924	1041	84
925	1042	83
926	1043	82
927	1045	81
928	1046	79
929	1047	78
930	1048	77
931	1049	76
932	1050	75
933	1051	74
934	1052	73
935	1053	72
936	1054	70
937	1054	69
938	1055	68
939	1056	67
940	1057	66
941	1058	65
942	1060	64
943	1061	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1067	55
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1072	49
956	1073	48
957	1074	47
958	1075	45
959	1076	44
960	1078	43
961	1079	42
962	1080	41
963	1080	40
964	1081	39
965	1082	38
966	1083	36
967	1083	35
968	1084	34
969	1085	33
970	1086	32
971	1087	31
972	1088	30
973	1089	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1094	23
979	1095	22
980	1096	21
981	1097	20
982	1098	18
983	1098	17
984	1099	16
985	1100	15
986	1101	14
987	1102	13
988	1103	12
989	1105	11
